artifact_id,run_id,stage,kind,created_at_utc,git_commit,source_relative_path,external_location,manifest_sha256,bytes,validation_status,backup_status,verified_at_utc,notes
stage0-smoke-20260916,20260916T210617Z-carla-smoke-beb230,0,smoke-run,2026-09-16T21:06:17Z,0e52c6a8ef7cb4bbb6116c6c40a72e772a7b6a1d,runs/20260916T210617Z-carla-smoke-beb230,/Users/madness/Научка/CARLA/runs/20260916T210617Z-carla-smoke-beb230,8def61758b358578ea2a00a77f52e684aa0caf75b2219150dc4208c101ca87ca,1100412,passed,verified,2026-09-16T21:19:32Z,User-operated Mac rsync via SSH alias carla-vm; supplied Mac SHA-256 output matched all 3 manifest files
stage1-town01-roadlines-20260917,20260917T110520Z-map-api-676d,1,map-api-probe,2026-09-17T11:06:48Z,786c83bc9aaf931ec03cb339195a9ec836975623,runs/20260917T110520Z-map-api-676d,,929c8bfdcf83b42a4d2bc03aa8603e46dcbbe31fe5936713567a8758ceaebfe8,6307929,failed,not_copied,,Town01 RoadLines hiding was semantic-only; RGB visual review failed
stage1-town01-opt-decals-20260917,20260917T111200Z-town01-opt-decals-5a62,1,map-layer-probe,2026-09-17T11:10:02Z,786c83bc9aaf931ec03cb339195a9ec836975623,runs/20260917T111200Z-town01-opt-decals-5a62,,a567b804d020ab1d0b503d500bcb7a4525c0ba659c596448fbbc254a959bc933,1813284,failed,not_copied,,Town01_Opt Decals left markings and changed unrelated scene content
stage1-town01-texture-20260917,20260917T145900Z-town01-texture-ead1,1,texture-probe,2026-09-17T15:00:11Z,786c83bc9aaf931ec03cb339195a9ec836975623,runs/20260917T145900Z-town01-texture-ead1,,6c146e744ed6e11ce0163a7435cd95862be33bd535acb7b8863a564d771e76da,4331674,failed,not_copied,,All resolved RoadLines Diffuse texture calls had no usable visible effect
stage1-town01-opt-roadlines-20260917,20260917T150510Z-town01-opt-direct-638d,1,map-api-probe,2026-09-17T15:05:24Z,786c83bc9aaf931ec03cb339195a9ec836975623,runs/20260917T150510Z-town01-opt-direct-638d,,c766ad8d2f91851b0ea8ab205d1287929fce2a549ad691e90982183ec2358e64,1783290,passed,not_copied,,One-location Town01_Opt direct RoadLines evidence; initial manual RGB verdict was corrected in visual_review_correction.json
stage1-town01-full-texture-20260917,20260917T151600Z-town01-full-texture-1c2f,1,texture-probe,2026-09-17T15:19:59Z,31c4e949651ca24aea41724332c2e9f9b88a0897,runs/20260917T151600Z-town01-full-texture-1c2f,,6d440981e2d81f7b6c054b0fae3f235cb7ed515add527f9a749032b2dc3b8384,1675533,failed,not_copied,,Full all-channel texture call left marking visible and semantic class unchanged
stage1-town01-opt-coverage-20260917,20260917T153000Z-town01-opt-coverage-b6e3,1,map-api-probe,2026-09-17T15:30:47Z,27383934e1c08bc67cd898ec2ffbb48231e179b0,runs/20260917T153000Z-town01-opt-coverage-b6e3,,8e22318a752ceb20eb63c8af79982de9ef8b13f9b0c1bd72268f4105de9f7853,5374757,passed,not_copied,,Town01_Opt direct RoadLines hiding passed RGB/raw-semantic review at straight road; intersection; and traffic-control locations; navigation sampled after hiding
stage1-town10hd-reference-20260917,20260917T154728Z-town10hd-reference-marking-8cb727,1,reference-marking-probe,2026-09-17T15:47:28Z,e9856d977525748467abc3ae0f4d69d4adf77e1b,runs/20260917T154728Z-town10hd-reference-marking-8cb727,,78dfe71508a5acf3bd63afe50019d51594669fbaa609313c2599d46b8cde0f9b,9331,failed,not_copied,,No frames: Town10HD_Opt port opened but CARLA RPC did not answer repeated get_world client timeouts; container stopped
stage2-town01-opt-routes-20260917,20260917T194300Z-town01-opt-routes-final-c5b492,2,route-selection-probe,2026-09-17T19:43:00Z,de1636033d5605e8fd5043b2e67a90f1beeffa05,runs/20260917T194300Z-town01-opt-routes-final-c5b492,,99a2e111469b0efabbf93b12ca508598e2bdb940268766f9344a8ce2f2712654,12884530,passed,not_copied,,Five 60-waypoint direct-next routes; full 2 m network sample and temporary DebugHelper views; no actor/TM drive; run began with uncommitted Stage-2 script
stage2-debug-render-probe-20260918,20260918T121243Z-debug-render-probe-295692,2,debug-render-probe,2026-09-18T12:12:43Z,096d9908382d794914d293954962401305012e41,runs/20260918T121243Z-debug-render-probe-295692,,f0c6b58173f3e8f7bb3e0b35b16a8df3a7e22b06b0898e9b40d43f677cba6389,5421733,passed,not_copied,,Controlled no-debug vs line-only vs point-only RGB comparison: draw_point created black road occluders; draw_line did not
stage2-town01-opt-routes-clean-debug-20260918,20260918T121645Z-town01-opt-routes-clean-debug-95bdcf,2,route-selection-probe,2026-09-18T12:16:45Z,096d9908382d794914d293954962401305012e41,runs/20260918T121645Z-town01-opt-routes-clean-debug-95bdcf,,1c290c07aab099a8ff1db02012501db096856f54227471af51560ccceb9727d5,15313829,passed,not_copied,,Adopted texture-safe line-only DebugHelper route previews; same five 60-waypoint direct-next routes; no actor/TM drive; run began with uncommitted rendering correction
stage2-route-candidates-adaptive-a1-20260919,20260919T054900Z-route-candidates-adaptive-a1,2,route-candidate-probe,2026-09-19T05:48:18Z,dd47e5848a7075f0333e00e73100d5f12d0f3d64,runs/20260919T054900Z-route-candidates-adaptive-a1,,9b537a10b93a84ccb966aa56997557247923223f6e5cab33f812294a8ad6db04,12053073,failed,not_copied,,Incomplete visual iteration: is_junction densification kept unnecessary 2 m spacing on straight-through sections; retained and superseded by a2
stage2-route-candidates-adaptive-a2-20260919,20260919T055800Z-route-candidates-adaptive-a2,2,route-candidate-probe,2026-09-19T05:49:53Z,dd47e5848a7075f0333e00e73100d5f12d0f3d64,runs/20260919T055800Z-route-candidates-adaptive-a2,,24309b1c0d35bd763d3b4b1d47641c27226ac636c539fdcefa107c6479ac3429,12180606,passed,not_copied,,Five visual-only diverse route candidates with 10 m straight and 2 m turn spacing; pending user approval; no actor/TM drive
stage2-route-revision-055954-20260919,20260919T055954Z-route-revision-7fef64,2,route-revision-probe,2026-09-19T05:59:54Z,971938fd0cc6fc92fe5aeb3c841fd8da8e4cd0b6,runs/20260919T055954Z-route-revision-7fef64,,f320130c4b08c84791f791d4a6e17a814e4962e6501ffc57cc9ae562fc39aad9,12201039,failed,not_copied,,Rejected after visual review because route 5 used the upper road rather than the intended bridge interpretation
stage2-route-revision-060413-20260919,20260919T060413Z-route-revision-9e0870,2,route-revision-probe,2026-09-19T06:04:13Z,971938fd0cc6fc92fe5aeb3c841fd8da8e4cd0b6,runs/20260919T060413Z-route-revision-9e0870,,72a2230b68e4607f0fbfddf818f558b860853b8a30a260f806fd0f8bc2f7fef3,1024,failed,not_copied,,Original route-5 seed did not select the bridge branch
stage2-route-revision-060600-20260919,20260919T060600Z-route-revision-d6c5fd,2,route-revision-probe,2026-09-19T06:06:00Z,971938fd0cc6fc92fe5aeb3c841fd8da8e4cd0b6,runs/20260919T060600Z-route-revision-d6c5fd,,6bc7ef29059966175671ddf16e1805628365fa13d15752d10d899eddc6c930c4,1011,failed,not_copied,,Greedy targeted continuation entered an incompatible directed branch
stage2-route-revision-060706-20260919,20260919T060706Z-route-revision-7f366b,2,route-revision-probe,2026-09-19T06:07:06Z,971938fd0cc6fc92fe5aeb3c841fd8da8e4cd0b6,runs/20260919T060706Z-route-revision-7f366b,,538eb75feba26024c388bd1c6ac9d6a53aa978fe093108346403a739a1c25f66,1046,failed,not_copied,,Fixed post-bridge coordinate was not on a reachable directed lane
stage2-route-revision-060803-20260919,20260919T060803Z-route-revision-c30a0b,2,route-revision-probe,2026-09-19T06:08:03Z,971938fd0cc6fc92fe5aeb3c841fd8da8e4cd0b6,runs/20260919T060803Z-route-revision-c30a0b,,43e8696d3387915ac82b66035e8c4b8c554ca9c5ddfe64e4c8961598065fbe4b,1104,failed,not_copied,,Bridge threshold validation was too strict for the approach segment
stage2-route-revision-060826-20260919,20260919T060826Z-route-revision-9d1466,2,route-revision-probe,2026-09-19T06:08:26Z,971938fd0cc6fc92fe5aeb3c841fd8da8e4cd0b6,runs/20260919T060826Z-route-revision-9d1466,,6d97f0326a39a5b8c94c2bd00d204bbe58f2d22694298b624bdf1bc05d110683,1109,failed,not_copied,,Old route-5 continuation could not traverse the selected bridge as a connected path
stage2-route-revision-061007-20260919,20260919T061007Z-route-revision-26a862,2,route-revision-probe,2026-09-19T06:10:07Z,971938fd0cc6fc92fe5aeb3c841fd8da8e4cd0b6,runs/20260919T061007Z-route-revision-26a862,,6c4fefc37ea27d8b52d81583909b208dcb3592fec152febe05f63e13c15dea36,906,failed,not_copied,,Quadratic bridge scan was interrupted and replaced by a linear detector
stage2-route-revision-061657-20260919,20260919T061657Z-route-revision-7f26a8,2,route-revision-probe,2026-09-19T06:16:57Z,971938fd0cc6fc92fe5aeb3c841fd8da8e4cd0b6,runs/20260919T061657Z-route-revision-7f26a8,,c9f08812b827d5a59b3c73875c755d92103d5b98619e91f1cc32e58e887e60fa,12502367,failed,not_copied,,Machine checks passed but visual review rejected the upper crossing and excessive 811 m length
stage2-route-revision-061810-20260919,20260919T061810Z-route-revision-3ce95a,2,route-revision-probe,2026-09-19T06:18:10Z,971938fd0cc6fc92fe5aeb3c841fd8da8e4cd0b6,runs/20260919T061810Z-route-revision-3ce95a,,ff1fb995efa2857a2497439556ea66a4ef903a22aaa4397f26d94077272a4639,1017,failed,not_copied,,Narrow internal visual bridge had no connected Driving-waypoint candidate
stage2-route-revision-061851-20260919,20260919T061851Z-route-revision-f4ba8c,2,route-revision-probe,2026-09-19T06:18:51Z,971938fd0cc6fc92fe5aeb3c841fd8da8e4cd0b6,runs/20260919T061851Z-route-revision-f4ba8c,,a1fa3e5e746529c8b5eea7f67c1ff896363e3c27159fb262e2883c5f4076f65d,12466772,failed,not_copied,,Geometry passed but route-5 close-up included out-of-map rendering artifacts
stage2-route-revision-final-20260919,20260919T062007Z-route-revision-ca00ee,2,route-revision-probe,2026-09-19T06:20:07Z,971938fd0cc6fc92fe5aeb3c841fd8da8e4cd0b6,runs/20260919T062007Z-route-revision-ca00ee,,db2018bf734ce412e53d8b396d7053ae5f879d76ad95571b7ede42e8f6b63936,12442715,passed,not_copied,,All five route geometries user-approved; route 4 has four turns; route 5 fully crosses the outer automobile bridge and turns after it; no actor/TM drive
stage2-tm-set-path-adaptive-20260919,20260919T065121Z-tm-autopilot-pilot-ea602d,2,autopilot-diagnostic,2026-09-19T06:51:21Z,93db410038bb4a6baa7dc4fd1cbfe813df0a7ee4,runs/20260919T065121Z-tm-autopilot-pilot-ea602d,,bbcc0215a6c44c1812d3269d3b64b67bf821a3c8a1d37085f3feca4fc7420cfb,1764030,failed,not_copied,,Adaptive set_path accepted but departed the route after 94 m at a later branch; retained diagnostic
stage2-tm-set-path-dense-20260919,20260919T065327Z-tm-autopilot-pilot-282f01,2,autopilot-diagnostic,2026-09-19T06:53:27Z,93db410038bb4a6baa7dc4fd1cbfe813df0a7ee4,runs/20260919T065327Z-tm-autopilot-pilot-282f01,,99ce24a2244f07f5bf284690e7e96324e71580615a1a46b660f9c5588c3d8098,1781860,failed,not_copied,,Complete 2 m set_path accepted but departed the route after 94 m at a later branch; retained diagnostic
stage2-tm-set-route-pilot-01-20260919,20260919T065711Z-tm-set-route-pilot-d84fe1,2,autopilot-pilot,2026-09-19T06:57:11Z,93db410038bb4a6baa7dc4fd1cbfe813df0a7ee4,runs/20260919T065711Z-tm-set-route-pilot-d84fe1,,f54b913f3b5b01df3d40820462e50d7e4ace20fbab388f209c6b495491987474,383784,passed,not_copied,,Route 1 set_route pilot passed all completion and safety checks
stage2-tm-set-route-pilot-02-20260919,20260919T065743Z-tm-set-route-pilot-c12669,2,autopilot-pilot,2026-09-19T06:57:43Z,93db410038bb4a6baa7dc4fd1cbfe813df0a7ee4,runs/20260919T065743Z-tm-set-route-pilot-c12669,,9a200dc0d5151fd65a2e1127375e38bf4097aa33433ad0d13e38562dd89db355,305510,passed,not_copied,,Route 2 set_route pilot passed all completion and safety checks
stage2-tm-approved-routes-20260919,20260919T065802Z-tm-autopilot-approved-routes-106f97,2,autopilot-validation,2026-09-19T06:58:02Z,93db410038bb4a6baa7dc4fd1cbfe813df0a7ee4,runs/20260919T065802Z-tm-autopilot-approved-routes-106f97,,607b8b527c62aef0565978b512ab80182c07c380d8ab26f9638bfe29122fbe86,2258589,passed,not_copied,,All five approved routes completed with zero collisions; deviations 0.997-1.247 m; finish distances 7.199-7.935 m
